162.158.151.145 - - [30/Apr/2024:20:24:17 +0000]  502 GET / HTTP/2.0559https://ay0ks.wtf/Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.142 - - [30/Apr/2024:20:26:09 +0000]  502 GET / HTTP/2.0559-Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.146 - - [30/Apr/2024:20:26:10 +0000]  502 GET /favicon.ico HTTP/2.0559https://code.ay0ks.wtf/Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.143 - - [30/Apr/2024:20:26:18 +0000]  302 GET / HTTP/2.058-Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.143 - - [30/Apr/2024:20:26:18 +0000]  200 GET /login HTTP/2.01042-Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.143 - - [30/Apr/2024:20:26:18 +0000]  200 GET /_static/src/browser/pages/global.css HTTP/2.0639https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.145 - - [30/Apr/2024:20:26:18 +0000]  200 GET /_static/src/browser/pages/login.css HTTP/2.0366https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.143 - - [30/Apr/2024:20:26:19 +0000]  200 GET /manifest.json HTTP/2.0241https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.153 - - [30/Apr/2024:20:26:19 +0000]  200 GET /_static/src/browser/media/favicon.ico HTTP/2.04793https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.152 - - [30/Apr/2024:20:26:19 +0000]  200 GET /_static/src/browser/media/pwa-icon-192.png HTTP/2.05486https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.148 - - [30/Apr/2024:20:26:19 +0000]  200 GET /_static/src/browser/media/favicon-dark-support.svg HTTP/2.01787https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.143 - - [30/Apr/2024:20:26:24 +0000]  302 POST /login HTTP/2.048https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.143 - - [30/Apr/2024:20:26:25 +0000]  302 GET / HTTP/2.0104https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.143 - - [30/Apr/2024:20:26:25 +0000]  200 GET /?folder=/home/ay0ks/personal HTTP/2.02108https://code.ay0ks.wtf/loginMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
162.158.151.143 - - [30/Apr/2024:20:26:26 +0000]  200 GET /stable-9a28bc29dbddb6886dfe03dc1c31320249a901ce/static/out/vs/loader.js HTTP/2.010324https://code.ay0ks.wtf/?folder=/home/ay0ks/personalMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36212.58.120.158
